TIC dtw Env USlope LSlope med mad os low row robAbbe rV reucliD reDSign rbLeon rbLeonsign per per_2 per_3 fm sm tm tail DeltaM eta slope slope_min r_value r_value_min class
11286045 100.591 0.085460751 0.092490734 0.007029982 13.671 0.390936182692178 0.201634770541976 -0.42551169420892 0.26787680508633 0.00306361169717932 0.658609512738803 0.0250889114917923 -0.0208789777008261 0.00613282599626075 -3.4354485050514e-05 7.093 3.497 18.007 0.581 0.192 0.137 0.118 1.556 0.00647 0.01391 0.0141 0.20531 0.20452 D
11286129 2.683 -0.000745029 -0.001318721 -0.000573692 12.5175 0.0375669423569173 -0.0422273862130224 0.289050448689004 -0.0944315286018687 0.012653849318533 0.119889675607075 0.0209836726021506 0.0208134878101507 0.0021041936332491 0.000121287137369919 10.989 6.394 4.945 0.916 0.047 0.046 0.026 0.084 0.03485 -8e-05 -0.00049 -0.01795 -0.1062 PE
11286229 3.951 0.000873403 0.002225365 0.001351962 11.136 0.0212376359071108 0.0259996660238681 0.478345689859606 0.450679352048814 0.00215864424369956 0.028494896243693 0.0208417358895827 0.0208131534752896 0.000463119351223895 1.99685948150119e-05 11.888 6.718 1.598 0.306 0.094 0.065 0.097 0.103 0.01154 0.00123 0.00113 0.69511 0.33274 TAL
11286272 2.829 0.001276664 0.00026622 -0.001010445 12.354 0.0165351219871594 0.0523059206900894 -0.0380581592238664 0.0621758975696162 0.0161376099043155 0.0655310034605605 0.0208892017355125 0.0208132319217079 0.00115604716557627 5.34512274814603e-05 3.272 4.346 23.526 0.643 0.377 0.032 0.031 0.053 0.14619 -0.00406 -3e-04 -0.69442 -0.13293 ME
11286318 4.345 0.002092802 -0.001897807 -0.00399061 13.116 0.0922052716428397 0.200099648454111 -0.290778005349379 0.0700878805331738 0.00332246599721351 0.173009953487576 0.0211510738100444 -0.0208143959833661 0.00260520018253985 1.07946905458789e-05 7.692 3.946 5.095 0.675 0.353 0.088 0.013 0.257 0.00585 -0.00129 -0.00168 -0.10468 -0.12684 D
11286538 16.74 -0.035470831 -0.038058858 -0.002588027 13.159 0.0967607637379157 0.129640188725152 -0.111291456793937 0.116362808657679 0.0061569016473317 0.240494956852509 0.0214608489009876 0.0208138875738352 0.00349735997729539 0.000116848434419836 10.44 6.469 2.922 0.552 0.137 0.045 0.347 0.284 0.00889 -0.00849 -0.00912 -0.55737 -0.55985 D
11286622 11.492 -0.002470111 0.000671015 0.003141126 15.386 0.0250603813255596 0.117620229670754 -0.242894078840645 0.181200279447058 0.848774565422343 0.754063827053979 0.0262692830162978 0.0208277213403108 0.0142608003123144 0.000580668643866744 5.694 8.716 4.246 0.356 0.075 0.042 0.04 0.097 0.9649 0.00106 0.00139 0.26414 0.3127 PE
11286761 7.321 0.000197089 0.000157723 -3.94e-05 14.3297 0.0123883823193536 -0.0368169879198481 -0.0695930470940934 0.0469008669123481 1.68504091219717 0.489616693710474 0.0233281195135927 -0.020825487821151 0.0090353262865932 0.000166423603232602 0.974 11.064 2.597 0.015 0.012 0.012 0.01 0.046 1.86024 0.00011 -0.00027 0.06485 -0.19093 R
11287491 8.055 0.000205164 0.000355577 0.000150414 13.1522 0.0243201766121392 0.0168353215081086 -0.026228982394418 -0.0469235039159757 0.0303148190286508 0.126703637864545 0.0210021097684904 -0.0208143103023713 0.00200737354792757 9.32131115956025e-05 1.399 1.524 1.274 0.836 0.1 0.088 0.012 0.052 0.04393 0.00024 0.00044 0.07909 0.11306 ME
11287779 4.686 -0.000557219 -0.001720821 -0.001163603 13.8989 0.0114490831845329 0.126875589692581 0.0767868978516688 0.0175614147298807 0.440931743400979 0.235657684643122 0.0214297641232573 -0.0208183883470186 0.00423666911943421 -0.000263134083640537 10.589 5.145 6.918 0.135 0.024 0.022 0.62 0.028 0.53887 -0.00118 -0.00125 -0.78431 -0.80685 NoC
11288509 4.643 0.000427126 5.29e-05 -0.0003742 14.449 0.00880493947684678 0.0703437610646797 -0.0821245209729275 0.274761669086264 1.24900208338345 0.324305823887433 0.0219241686342482 -0.0208135246626503 0.00592356969631069 7.96945870771282e-05 1.224 1.324 1.149 0.247 0.023 0.017 0.016 0.035 1.21151 0.00074 1e-04 0.42804 0.07262 PR
11289033 3.66 -0.000714281 0.000140482 0.000854763 13.901 0.00930729135790919 -0.0642658368038361 -0.136027162936876 0.139998294692539 0.658302458089912 0.246133035295884 0.021465716972379 0.0208131122011024 0.00454064899323825 0.000265661771623016 3.971 1.973 5.32 0.443 0.121 0.07 0.094 0.033 0.72256 0.00032 0.00073 0.2313 0.48038 PR
11289268 2.951 -0.002880087 -0.002285615 0.000594472 13.699 0.029806432850679 -0.35469667622483 0.188142636365278 -0.102590595571966 0.02775518441677 0.169245589944123 0.0211281887122933 -0.0208131228902472 0.00321566884234947 5.35599889168736e-05 11.114 6.618 3.971 0.932 0.137 0.026 0.111 0.086 0.06014 -0.00206 -0.00263 -0.49839 -0.5729 PE
11289343 2.106 -0.000187763 0.000493416 0.000681179 11.565 0.00470105268874095 0.0536092810151331 -0.23645800058984 0.12023897259566 0.169912289576238 0.0641456656292394 0.0208880998773195 0.0208129906175149 0.00115184364760168 -4.25354712820791e-05 1.973 10.889 2.248 0.261 0.154 0.061 0.53 0.008 0.1881 0.00051 0.00066 0.72756 0.77163 PAD
11290432 4.203 -0.000505797 -0.000449519 5.63e-05 13.6451 0.0366172281302938 0.0144496100327325 0.0122547706910543 0.11811320993868 0.0510498078336423 0.248987307365148 0.0214910324042068 -0.0208137400366804 0.00461706212520596 0.000186312904887131 4.146 1.698 5.619 0.854 0.128 0.1 0.039 0.094 0.07179 0 -0.00048 -0.00037 -0.10585 PE
11290693 4.756 0.000276599 0.000425165 0.000148566 14.13 0.00863948745445527 -0.0216116038839408 -0.212395298667608 0.13690013205424 1.26264978551093 0.311860074750049 0.021863684326238 -0.0208133114181396 0.0056162239475821 -2.0639913923759e-05 2.373 3.746 2.822 0.246 0.082 0.025 0.03 0.037 1.21179 0.00031 0.00019 0.23111 0.15511 PR
11290799 6.177 0.000593714 0.000519359 -7.44e-05 14.214 0.0273465383443367 0.137914429702935 -0.0176042339499306 0.102953292428764 0.288949027729714 0.448851090775584 0.0228980620483633 -0.0208140979574284 0.00821803904228879 8.45192170118025e-05 1.973 1.748 2.273 0.784 0.091 0.081 0.001 0.09 0.3901 -0.00015 -0.00054 -0.04391 -0.14943 PE
11290975 3.551 -0.001972134 -0.003000421 -0.001028287 12.9225 0.0109481946591617 0.0249245020307483 0.0371180466686624 0.0931559300741704 0.593985512159881 0.271120287160679 0.0216137575296404 -0.020813052240897 0.00457312763725248 -0.00012449923417357 23.826 1.823 1.623 0.537 0.15 0.033 0.535 NA 0.4295 -0.00161 -0.00095 -0.76788 -0.63509 NoC
11291023 29.781 5.89e-05 -0.00181318 -0.001872034 15.032 0.185321047862429 0.316472189072423 0.256598661617144 0.0960502021187215 0.00947114596913387 0.570953515177458 0.0240551930006134 -0.0208385866881128 0.00920956149080254 -0.000265840653506544 4.071 3.247 2.148 0.693 0.151 0.083 0.052 0.631 0.02145 0.00175 0.00162 0.07476 0.05882 D
11291211 2.718 -9.2e-05 0.00013878 0.00023082 11.861 0.00585709750951429 -0.0555990832719429 -0.215849842375264 0.124297242194269 0.284529094130547 0.102692328340415 0.020946016487334 -0.0208130717495234 0.00173614930729826 9.1892106715008e-05 0.949 0.899 0.475 0.186 0.17 0.078 0.063 0.013 0.27503 0.00017 -6e-05 0.18681 -0.07038 ME
11292051 4.196 0.000121175 -0.000385336 -0.000506512 12.925 0.014296762166683 -0.0269951560697255 -0.0603348710410704 0.00841113801967706 0.187233035017653 0.190881993729146 0.0212235060364895 5.11102809554187e-09 0.00342151594653828 0.000101920699343339 1.099 1.174 1.024 0.734 0.072 0.07 0.036 0.05 0.30092 -0.00042 -0.00051 -0.22687 -0.27775 PE
11292285 10.622 -0.000271671 -0.000288692 -1.7e-05 13.425 0.0529891807647982 0.0272191549606198 -0.109466502318637 0.0868581640145285 0.0218259482188687 0.255502032092781 0.0215320564625192 0.0208130039754048 0.00401484282220999 8.40330487346108e-05 2.048 2.747 2.348 0.538 0.503 0.18 0 0.179 0.03089 -0.00029 -0.00059 -0.03899 -0.07626 ME
11293273 12.248 -4.5e-06 -0.000969427 -0.000964924 15.055 0.019595613582011 -0.0122237527269597 -0.135444328761029 0.150144835845754 1.93060130519683 0.869978400583046 0.0278532422488974 0.0208217610051028 0.0156515090951572 0.000790132888573325 2.123 2.523 1.249 0.038 0.011 0.01 0.015 0.068 1.87884 -0.00029 -0.00059 -0.09944 -0.23703 R
11293712 4.044 -0.000954024 -0.00088635 6.77e-05 12.368 0.0132774200785478 0.257290376531012 -0.1977067296901 0.0183740878877377 0.0881002488554931 0.131799822317669 0.0210228943641375 -0.0208130525049089 0.00242296882199078 9.36763290138032e-05 2.523 5.12 3.996 0.483 0.456 0.087 0.013 0.035 0.10689 -0.00025 -7e-04 -0.1275 -0.33249 PAD
11295922 2.089 -0.003182798 -0.00043056 0.002752238 12.1488 0.0185354785389338 0.015193258874438 -0.174902738448037 -0.101925730894082 0.0377780901465405 0.109014835971514 0.0209681992685522 0.0208130737276955 0.00195152192195813 0.000152482971097712 3.447 2.822 4.471 0.846 0.097 0.075 0.005 0.035 0.12446 0.00023 -3e-05 0.09864 -0.0113 PE
11296067 34.316 0.024113158 0.023937346 -0.000175812 12.927 0.140322787718098 0.274595138211686 -0.097686993625891 0.344336970195952 0.0162085847566639 0.558894249387886 0.0239367165228823 0.0208650721101252 0.00792665914182145 0.000111677504452956 8.891 16.958 5.345 0.394 0.286 0.11 0.149 0.583 0.017 0.00484 0.00532 0.21656 0.21569 D
11296141 2.319 0.000400651 0.000593304 0.000192653 13.108 0.0351283030274089 -0.442223964077575 0.0128336806138434 -0.0176202433328992 0.0145960065135739 0.155462369254327 0.0210817615495418 0.0208129988872574 0.00254892308551291 -0.000145673027516224 2.797 1.399 3.447 0.886 0.091 0.085 0.035 0.106 0.0315 0.00077 0.00048 0.14806 0.08849 PE
11296154 10.52 -0.000918202 -0.000901703 1.65e-05 15.014 0.0203102630841866 0.0339224745274138 -0.145377385385772 0.170590944070172 1.00763742318009 0.66639288510696 0.025115512818997 -0.0208156046342971 0.0126491672184557 0.000447017195876143 4.92 23.427 3.696 0.325 0.122 0.042 0.122 0.075 1.09214 -0.00078 -6e-04 -0.25446 -0.20717 PR
11296217 12.77 0.002123996 0.003660493 0.001536497 12.741 0.0528844732173107 0.646124776181167 0.0285688483502922 0.301499802845421 0.0135772159616798 0.251052275319059 0.0214992552136776 -0.0208152693040499 0.00384671792410884 -0.000135396960731171 5.794 2.822 9.466 0.424 0.103 0.052 0.161 0.359 0.01103 0.00444 0.00461 0.28501 0.27946 D
